Latitude;Longitude;Speed;Time (absolute)
-2244.255700;-4732.077600;25.594640;1543678845.436995
-2244.255700;-4732.077600;25.594640;1543678845.540046
-2244.254800;-4732.077500;28.872680;1543678845.653487
-2244.254800;-4732.077500;28.872680;1543678845.779509
-2244.253900;-4732.077700;30.095000;1543678845.885264
-2244.253900;-4732.077700;30.095000;1543678846.012741
-2244.253000;-4732.077900;30.150560;1543678846.120634
-2244.253000;-4732.077900;30.150560;1543678846.213978
-2244.252100;-4732.078000;30.669120;1543678846.318128
-2244.252100;-4732.078000;30.669120;1543678846.402519
-2244.251200;-4732.077900;30.243160;1543678846.502528
-2244.251200;-4732.077900;30.243160;1543678846.618299
-2244.250400;-4732.077500;29.298640;1543678846.737071
-2244.249500;-4732.076700;32.187760;1543678846.847506
-2244.249500;-4732.076700;32.187760;1543678846.970557
-2244.248700;-4732.076100;32.187760;1543678847.078585
-2244.248700;-4732.076100;32.187760;1543678847.179682
-2244.248000;-4732.075300;35.225040;1543678847.280986
-2244.248000;-4732.075300;35.225040;1543678847.384547
-2244.247800;-4732.074000;38.984600;1543678847.496418
-2244.247800;-4732.074000;38.984600;1543678847.617951
-2244.247600;-4732.072600;40.688440;1543678847.724264
